,url,type,2nd type,3rd type,Source Notes (things to know?),Unnamed: 5
463,thetrumpmedia.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
464,thetruthdivision.com,fake,bias,,,
465,thetruthseeker.co.uk,fake,conspiracy,junksci,ex: NY orchestrated the asian tsunami in 2008!,
466,theusa-news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
467,thewashingtonpress.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
468,threepercenternation.com,fake,conspiracy,bias,,
469,times.com.mx,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
470,tmzworldnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
471,trueamericans.me,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
472,truetrumpers.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
473,trumpvision365.com,fake,,,,
474,undergroundnewsreport.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
475,undergroundworldnews.com,fake,conspiracy,bias,,
476,unitedmediapublishing.com,fake,,,,
477,universepolitics.com,fake,,,http://www.politifact.com/punditfact/statements/2017/jan/03/universe-politics/fake-news-michigan-gop-elector-didnt-choose-suicid/,
478,usa-radio.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
479,usa-television.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
480,usa2016elections.com,fake,,,no longer being updated,
481,usadailyinfo.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
482,usadailypolitics.com,fake,,,,
483,usadailytime.com,fake,,,"no satire disclaimer, http://usadailytime.com/breaking-mexico-closes-borders-usa-citizens/",
484,usadosenews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
485,usafirstinformation.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
486,usahitman.com,fake,conspiracy,,,
487,usainfobox.com,fake,,,"can't find satire disclaimer, patently false",
488,usamagazinestudio.com,fake,,,,
489,usanewsflash.com,fake,bias,clickbait,,
490,usanewsinsider.com,fake,bias,clickbait,,
491,usanewspolitics.com,fake,,,,
492,usanewstoday.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
493,usaonlinepolitics.com,fake,clickbait,,no longer being updated,
494,usaphase.com,fake,bias,,,
